SalesNav Name,Account Name,Deterministic Match,Match Score
Perfetti Van Melle,Campbell Soup,Perfetti Van Melle,100.0
Perfume Holding,Comanche,Perfume Holding,100.0
Pet Supplies Plus,Callaway Golf,Pet Supplies Plus,100.0
PetIQ,Calavo Growers,PetIQ,100.0
"Petland, Inc. (USA)",Cabinetworks Group,,0.0
Petmate,Clarks,Petmate,100.0
Petsense by Tractor Supply,C.H. Guenther & Son,,0.0
PIM Brands,Butterball,PIM Brands,100.0
Pirma,Busch Vacuum Solutions,Pirma,100.0
Plastic Development Group LLC,Bunge,Plastic Development Group,92.5925925925926
"PlayPower, Inc.",Brown-Forman,,0.0
"Point Blank Enterprises, Inc.",Brooks,Point Blank Enterprises,88.46153846153845
Polar Beverages,Brita,Polar Beverages,100.0
POLYWOOD®,Boston Beer Company,,0.0
POOLCORP,Bose,POOLCORP,100.0
Post Consumer Brands,Bosch US,,0.0
PriceSmart,Borden Dairy,PriceSmart,100.0
"Primary Arms, LLC",Bodyarmor,Primary Arms,82.75862068965517
Printful,Boar's Head,Printful,100.0
Proenza Schouler,BLACK+DECKER UK,Proenza Schouler,100.0
Propper International,BISSELL,Propper International,100.0
Pure Fishing,Birds Eye,Pure Fishing,100.0
Quirch Foods,Bimbo Bakeries USA,,0.0
Rainbow Apparel Co,BIC,,0.0
Rally House,Benefit Cosmetics,Rally House,100.0
Rapala USA,BellRing Brands,,0.0
Red Bull Distribution Company,Bellisio Foods,Red Bull Distribution,84.0
Redbarn Pet Products,Belkin,Redbarn Pet Products,100.0
Reformation,Becker Mining Systems,Reformation,100.0
Reser's Fine Foods,Bar-s Foods,Reser's Fine Foods,100.0
REVOLVE,Bacardi,,0.0
Ridleys Market,B&G Foods,,0.0
"RM Palmer Company, LLC",Avon USA,,0.0
ROKA,Aviagen,,0.0
Rosauers Supermarkets Inc,Auriga Industries,Rosauers Supermarkets,91.30434782608697
Roskam Foods,Aukey,,0.0
"Ross Stores, Inc.",Attindas,,0.0
Rouses Markets,ASR Group,Rouses Markets,100.0
RPM Inc./Drymate Products,Aspire Bakeries,,0.0
Ruiz Foods,ARLANXEO,,0.0
Runnings,Arla Foods Ingredients,Runnings,100.0
Rural King,Arc International,Rural King,100.0
S&S Activewear,Apple,S&S Activewear,100.0
SAIL,Apex Tool Group,,0.0
Salt Life,AO World,Salt Life,100.0
Sam's Club,Anker Technology,Sam's Club,100.0
San Francisco Bay Coffee Co,Animal Health International,San Francisco Bay Coffee,94.11764705882352
Sanders Farms,Anheuser-Busch,Sanderson Farms,92.85714285714286
Sani Professional®,AMPI,Sani Professional,97.14285714285714
SanMar,American Woodmark,SanMar,100.0
Santory,American Standard,Santory,100.0
Sara Lee Frozen Bakery,American Foods Group,Sara Lee Frozen Bakery,100.0
"SATCO, INC.",American & Efird,,0.0
SCM Garments Pvt Limited - India,AMC International,,0.0
Seakeeper,Altria,Seakeeper,100.0
ServiceWear Apparel,Alpha and Omega Semiconductor Limited,Service Wear Apparel,97.43589743589743
Shasa,Alliance Entertainment,Shasa,100.0
Shearer's Foods,Albéa,,0.0
Sherrill Furniture Brands,Hunan Aihua Group,Sherrill Furniture,83.72093023255813
"SHOE SHOW, INC.",AGRANA USA,,0.0
Shoe Station,Aga Rangemaster,Shoe Station,100.0
SICO,Advansix,SICO,100.0
"SIG SAUER, Inc.",Adidas,,0.0
Simons,Acuity Brands,Simons,100.0
Skullcandy Inc.,Action,Skullcandy,80.0
Smart & Final,ACCO Brands,,0.0
Smith & Wesson,Accell Group,Smith & Wesson,100.0
"Smith Brothers Of Berne, Inc.",Absopure Water,,0.0
Smithfield Foods,Ab,Smithfield Foods,100.0
Sole Fitness,Arbonne,Sole Fitness,100.0
"Southerland, Inc",Burton Snowboards,Southerland,81.4814814814815
Southern Motion Inc,Crestron,Southern Motion,88.23529411764706
Sprint Mart,Garmin,Sprint Mart,100.0
Stater Bros. Markets,Mattel,Stater Bros. Markets,100.0
"Steel Grip, Inc",MOEN United States,Steel Grip,80.0
STEPEVI,Procter & Gamble,,0.0
Sterilite Corporation,SC Johnson,,0.0
Stone Distributing Co.,Specialized,,0.0
Stop & Shop,Steelcase,Stop & Shop,100.0
SULLIVAN'S,Timex,,0.0
Sun Bum,Motus Integrated Technologies,Sun Bum,100.0
Suncast Corporation,Jazwares,,0.0
"Sunshine Mills, Inc.",Kimball,Sunshine Mills,82.35294117647058
Sunsweet Growers Inc.,Kravet,Sunsweet Growers,86.48648648648648
Surya,Lakeshore Learning Materials,Surya,100.0
"Swire Coca-Cola, USA",Lasko Products,Swire Coca-Cola,85.71428571428572
"Tailored Brands, Inc.",Leupold,Tailored Brands,83.33333333333334
Tailored Clothing,Mac Tools,,0.0
Talize,Manulution,Talize,100.0
Tanger,Melissa & Doug,,0.0
Target,Minh Duong Furniture,Target,100.0
Tarte Cosmetics,Mobvoi,Tarte Cosmetics,100.0
Taylor Farms,MTS Seating,Taylor Farms,100.0
TCL,Northern Contours,TCL,100.0
Tegra Global,Carter's,,0.0
Tempur Pedic Mattress Gallery,Coleman,,0.0
Tequila Patrón,ECHO,,0.0
Thanh Cong Textile Garment Investment Trading JSC,Peloton Interactive,Thanh Cong Textile Garment Investment Trading Joint Stock Company,85.96491228070175
The Jel Sert Company,BUNN,,0.0
The Libman Company,Sony Interactive Entertainment,,0.0
The New Yorker,Gojo,The New Yorker,100.0
The Pokémon Company International,Radius Garden,The Pokemon Company International,96.96969696969697
The Row,TCL,The Row,100.0
The Step2 Company,Mouser Electronics,,0.0
"The TJX Companies, Inc.",Xiaomi,,0.0
Theisen's Home Farm Auto,Newell Brands (Learning & Development),,0.0
Tillys,Newell Brands (Outdoor & Recretion),Tilly's,92.3076923076923
Tito's Handmade Vodka,Hermes,Tito's Handmade Vodka,100.0
Toka México,Amazon,Toka Mexico,90.9090909090909
Tom Thumb Food Stores,Drive DeVilbiss Healthcare,,0.0
Topgolf Callaway Brands,JUUL Labs,Topgolf Callaway Brands,100.0
"Topson Downs of California, LLC",Transact Technologies,,0.0
Tractor Supply Company,Vanguard,Tractor Supply Co.,85.0
"Triumph Foods, L.L.C.",Magid,,0.0
"Tropicale Foods, LLC",Bobrick,Tropicale Foods,85.71428571428572
Tropicana Brands Group,Leatherman Tool,Tropicana Brands Group,100.0
Twincraft Skincare,4moms.com,Twincraft Skincare,100.0
Tyson Foods,TJX Companies,Tyson Foods,100.0
