SalesNav Name,Account Name,Deterministic Match,Match Score
-,Mercari,,0.0
-,Helzberg Diamonds a Berkshire Hathaway Company,,0.0
-,Bi-Mart,,0.0
-,Northgate Market,,0.0
-,Associated Food Stores,,0.0
-,BLICK,,0.0
-,Fairway Market,,0.0
-,Nebraska Furniture Mart,,0.0
-,Central Market,,0.0
-,Tito's Handmade Vodka,,0.0
-,URM Stores,,0.0
-,Swisher,,0.0
-,ShopNBC,,0.0
-,Oettinger Davidoff,,0.0
-,Red Bull Distribution,,0.0
-,See's Candies,,0.0
-,Libbey,,0.0
-,Superior Grocers,,0.0
-,Jostens,,0.0
-,Hanover,,0.0
-,Godiva,,0.0
-,Omaha Steaks,,0.0
-,City Furniture,,0.0
-,T & T Asian Market,,0.0
-,T Marzetti,,0.0
-,Buffalo Wild Wings,,0.0
-,American Freight Furniture-Mattress,,0.0
-,Roche Bros.,,0.0
-,LALA U.S.,,0.0
-,Audible,,0.0
-,Pet Supermarket,,0.0
-,Admiral Beverage,,0.0
-,Clarins USA,,0.0
-,Bolthouse Farms,,0.0
-,Land O'Frost,,0.0
-,Madewell,,0.0
-,G&J Pepsi,,0.0
-,Earth Fare,,0.0
-,World Market,,0.0
-,LL Flooring,,0.0
-,Fresh Express,,0.0
-,Harmons Grocery,,0.0
-,Fresh Thyme,,0.0
-,Dunn-Edwards,,0.0
-,Dierbergs Markets,,0.0
-,a2 Milk,,0.0
-,LIDL US,,0.0
-,Value City Furniture Inc,,0.0
-,Blommer Chocolate Company,,0.0
-,Amy's,,0.0
-,Harlan Bakeries,,0.0
-,Buddig,,0.0
-,Schmidt Baking,,0.0
-,Westrock Coffee,,0.0
-,Ghirardelli Chocolate,,0.0
-,Festival Foods,,0.0
-,Woodman's Market,,0.0
-,GT's Living Foods,,0.0
-,Van Heusen Factory Outlet Store,,0.0
-,King Kullen Grocery Co.,,0.0
-,Schuman Cheese,,0.0
-,Westlake Hardware,,0.0
-,Heinen's,,0.0
-,Cinnabon,,0.0
-,Woodman's Market,,0.0
-,Niemann Foods Inc dba County Market,,0.0
-,Half Price Books,,0.0
-,Oriental Trading Company,,0.0
-,Tuesday Morning,,0.0
-,Linens 'n Things,,0.0
-,Redner's Markets,,0.0
-,Curacao,,0.0
-,Tootsie Roll,,0.0
-,Polar Beverages,,0.0
-,Oak Farms Dairy,,0.0
-,Buddy's Home Furnishings,,0.0
-,General Beverage,,0.0
-,Shop LC,,0.0
-,Pier 1 Imports,,0.0
-,American Signature Furniture,,0.0
-,Ben & Jerry's,,0.0
-,H&S Bakery,,0.0
-,Food Giant,,0.0
-,Tropicana Brands Group,,0.0
-,Darigold,,0.0
-,Reyes Coca-Cola Bottling,,0.0
-,Russell Stover Candies,,0.0
-,Leaf Home,,0.0
-,The Wine Group,,0.0
-,The Heineken,,0.0
-,Heaven Hill Brands,,0.0
-,Tillamook,,0.0
-,Lifetime Brands,,0.0
-,Balls Foods,,0.0
-,JAKKS Pacific,,0.0
-,Living Spaces,,0.0
-,Herr's,,0.0
-,Welch's,,0.0
-,Panasonic Europe,,0.0
-,Gelson's,,0.0
-,LUND FOOD HOLDINGS,,0.0
-,Imperial Sugar Company,,0.0
-,P3 Portable Protein Pack,,0.0
-,Lakeside Foods,,0.0
-,Bumble Bee Seafoods Company,,0.0
-,Food Bazaar Supermarket,,0.0
-,Sedano's Supermarkets,,0.0
-,Villiger,,0.0
-,P.C. Richard & Son,,0.0
-,Edible Arrangements,,0.0
-,Strack & Van Til,,0.0
-,The Krusteaz Company,,0.0
-,Blue Star Diamonds,,0.0
-,Pillsbury,,0.0
-,Great Lakes Wine & Spirits,,0.0
-,Staples Advantage,,0.0
-,Furniture Row,,0.0
-,HomeSense,,0.0
-,Foremost Farms USA,,0.0
-,Tropicale Foods,,0.0
-,Byrne Dairy,,0.0
-,Mizkan Americas,,0.0
-,New Seasons Market,,0.0
-,Super One Foods,,0.0
-,Horizon Beverage,,0.0
-,Pernod Ricard USA,,0.0
-,Bama Companies,,0.0
-,Trinchero Family Estates,,0.0
-,Delicato Family Vineyards,,0.0
-,Bricktown Brewery,,0.0
-,Gilt City Warehouse Sale,,0.0
-,United Furniture,,0.0
-,Coast Guard Exchange,,0.0
-,Appliance Traders,,0.0
-,Foodland,,0.0
-,Bay Valley Foods,,0.0
-,Whole Earth Brands,,0.0
-,Butcherbox,,0.0
-,Channel Control Merchants,,0.0
-,Dietz & Watson,,0.0
-,Batteries Plus,,0.0
-,Rural King,,0.0
-,Lewis Brothers Bakeries,,0.0
-,Stone Brewing,,0.0
-,AJ Wright,,0.0
-,Swiss Valley Farms,,0.0
-,Closets By Design,,0.0
-,Bluemercury,,0.0
-,CANarchy,,0.0
-,Old Dutch Foods,,0.0
-,Ocean Beauty Seafoods,,0.0
-,Heartland Food Products Group,,0.0
-,FIJI Water,,0.0
-,Ken's Foods,,0.0
-,Clif Bar & Company,,0.0
-,Bruce Foods,,0.0
-,Beauty Plus Global,,0.0
-,Goedeker's,,0.0
-,Jacuzzi,,0.0
-,Reico Kitchen & Bath,,0.0
-,Diamond Comic Distributors,,0.0
-,NYX Cosmetics,,0.0
-,Vita Coco,,0.0
-,Ready Pac Foods,,0.0
-,Bark,,0.0
-,Murdoch's Ranch & Home Supply,,0.0
-,Fiji Water,,0.0
-,Upstate Niagara Cooperative,,0.0
-,Tree Top,,0.0
-,Build-A-Bear Workshop,,0.0
-,Coca-Cola Puerto Rico Bottlers,,0.0
-,Sprite,,0.0
-,Excelligence Learning,,0.0
-,Red Gold,,0.0
-,Denon Professional,,0.0
-,Jeni's Splendid Ice Creams,,0.0
-,Caribou Coffee,,0.0
-,Pan-O-Gold Baking Company,,0.0
-,Associated Supermarkets,,0.0
-,Kirklands Home,,0.0
-,Charming Beard Coffee,,0.0
-,Vitaminwater,,0.0
-,Blue Apron,,0.0
-,Karl Strauss Brewing,,0.0
-,King's Hawaiian,,0.0
-,HomeGoods,,0.0
-,Aeshna Wines,,0.0
-,Corner Bakery,,0.0
-,Chicken of the Sea,,0.0
-,AriZona Beverages,,0.0
-,Rosauers Supermarkets,,0.0
-,Sara Lee Frozen Bakery,,0.0
-,Nature's Sunshine,,0.0
-,Tea Garden Springs,,0.0
-,Reasor's,,0.0
-,Florida's Natural,,0.0
-,Stew Leonard's,,0.0
-,NOW Health Group,,0.0
-,Grande Cheese Company,,0.0
-,POST CONSUMER BRANDS,,0.0
-,Bristol Farms,,0.0
-,Accolade,,0.0
-,Manhattan Beer Distributors,,0.0
-,Marley Spoon,,0.0
-,Neora,,0.0
-,Kemps,,0.0
-,Kowalski's Markets,,0.0
-,John Soules Foods,,0.0
-,Western Beef,,0.0
-,Forman Mills,,0.0
-,iHerb,,0.0
-,Victorinox (USA),,0.0
-,Honey Baked Ham,,0.0
-,Ehrmann,,0.0
-,Cabot Creamery,,0.0
-,Joy Cone,,0.0
-,Alpha Baking Company,,0.0
-,Jel Sert,,0.0
-,Crystal Creamery,,0.0
-,Community Coffee,,0.0
-,Knouse Foods,,0.0
-,Chemmanur International Jewellers,,0.0
-,B&R Stores,,0.0
-,Blue Bottle Coffee,,0.0
-,Einstein Bros. Bagels,,0.0
-,Bloomingdale's,,0.0
-,Nintendo of Europe,,0.0
-,Central Network Retail Group,,0.0
-,Basic American Foods,,0.0
-,Kitchen-Star,,0.0
-,Fresh Encounter,,0.0
-,Hooker Furnishings,,0.0
-,Nor-Cal Beverage,,0.0
-,PetSmart Corporate Communications,,0.0
-,Zulily,,0.0
-,Royal Cup,,0.0
-,Ole Smoky Distillery,,0.0
-,Orgain,,0.0
-,Dole Packaged Foods,,0.0
-,Nugget Markets,,0.0
-,Duckhorn Portfolio,,0.0
-,Nongshim USA,,0.0
-,Absolut,,0.0
-,Furniture Direct,,0.0
-,Runnings,,0.0
-,Buehlers Fresh Foods,,0.0
-,Mathis Brothers,,0.0
-,McCall Farms,,0.0
-,Nassau Candy,,0.0
-,Linksys,,0.0
-,Lyons Magnus,,0.0
-,Home Chef,,0.0
-,Vitacost,,0.0
-,Maxwood Furniture,,0.0
-,Geneva Watch Group,,0.0
-,Houzz,,0.0
-,Organic Valley,,0.0
-,Request Foods,,0.0
-,Synergy Flavors Inc,,0.0
-,Masters Gallery Foods,,0.0
-,Palermo's Pizza,,0.0
-,Moroccanoil,,0.0
-,Gordon Biersch,,0.0
-,Bel Brands USA,,0.0
-,BarkShop,,0.0
-,Jerry's Foods,,0.0
-,WebstaurantStore,,0.0
-,Oh Natural,,0.0
-,Ridley's Family Markets,,0.0
-,Pictsweet Farms,,0.0
-,Raw Seafoods,,0.0
-,Kings Food Markets,,0.0
-,Bargain Hunt,,0.0
-,Blount Fine Foods,,0.0
-,Peterson Farms,,0.0
-,Eclipse Toys,,0.0
-,Jack Daniel's,,0.0
-,Jelly Belly,,0.0
-,The Tile Shop,,0.0
-,Sam Ash Music,,0.0
-,Backstage Toys,,0.0
-,Times Supermarkets,,0.0
-,Paper Source,,0.0
-,BrandsMart USA,,0.0
-,KLN Family Brands,,0.0
-,Metagenics,,0.0
-,Ravitz Family Markets,,0.0
-,Cafe Britt,,0.0
-,Acme Tools,,0.0
-,Berner Food and Beverage,,0.0
-,De Beers Jewellers,,0.0
-,Once Upon a Farm,,0.0
-,Aurora Organic Dairy,,0.0
-,SunnyD,,0.0
-,Spinx,,0.0
-,Abt,,0.0
-,Guayaki,,0.0
-,Founders Brewing,,0.0
-,Klosterman Baking,,0.0
-,Mom's Meals,,0.0
-,Farmer Bros.,,0.0
-,Bush's Beans,,0.0
-,IT'SUGAR,,0.0
-,Sutherland Lumber Company,,0.0
-,Turkey Hill,,0.0
-,Puratos,,0.0
-,Weleda,,0.0
-,Kiehl's,,0.0
-,Riviana Foods,,0.0
-,ABC Fine Wine & Spirits,,0.0
-,Idahoan Foods,,0.0
-,Peets Coffee,,0.0
-,Continental Mills,,0.0
-,Roskam Baking,,0.0
-,Beyond Meat,,0.0
-,Igloo Coolers,,0.0
-,Sur La Table,,0.0
-,Jordan's Furniture,,0.0
-,Avon Bakery & Deli,,0.0
-,Melitta USA,,0.0
-,Perfect Day,,0.0
-,iMobile,,0.0
-,Imperfect Foods,,0.0
-,Harvest Hill Beverage,,0.0
-,Olé Mexican Foods,,0.0
-,Atwoods Ranch & Home,,0.0
-,Loacker,,0.0
-,PCC Community Markets,,0.0
-,Peapod,,0.0
-,Dave's Markets,,0.0
-,AbiMar Foods,,0.0
-,Jim Beam Brands,,0.0
-,West Elm,,0.0
-,Daisy Brand,,0.0
-,Wise Snacks,,0.0
-,Petland,,0.0
-,American Textile,,0.0
-,Sun-Maid Growers of California,,0.0
-,Richelieu Foods,,0.0
-,Faribault Foods,,0.0
-,BlenderBottle,,0.0
-,UniSea,,0.0
-,"Kayem Foods, Inc",,0.0
-,Smead,,0.0
-,Alene Candles,,0.0
-,Bronco Wine Co.,,0.0
-,Delallo,,0.0
-,Conn-Selmer,,0.0
-,Bimbo QSR,,0.0
-,Bruegger's Enterprises,,0.0
-,Schwebel's,,0.0
-,ABC Stores,,0.0
-,Compaña Cervecera de Puerto Rico,,0.0
-,Market of Choice,,0.0
-,Fresh Direct,,0.0
-,Pace Foods,,0.0
-,Bigfoot Beverages,,0.0
-,Busch's,,0.0
-,Citrus World,,0.0
-,C&K Market,,0.0
-,Kriser's,,0.0
-,Pulaski Furniture,,0.0
-,Pressed Juicery,,0.0
-,Bob's Red Mill,,0.0
-,Gehl Foods,,0.0
-,Gertrude Hawk Chocolates,,0.0
-,Grain Millers,,0.0
-,BelGioioso,,0.0
-,Empire Today,,0.0
-,Morgan Foods,,0.0
-,Country Pure Foods,,0.0
-,Coastal Farm & Home Supply LLC,,0.0
-,CREAM-O-LAND DAIRY,,0.0
-,Kettle Cuisine,,0.0
-,Juice Press,,0.0
-,San Francisco Bay Coffee,,0.0
-,Cirkul,,0.0
-,Budweiser,,0.0
-,Plaza Provision,,0.0
-,Essentia Water,,0.0
-,US Smokeless Tobacco,,0.0
-,Stonewall Kitchen,,0.0
-,ABC Warehouse,,0.0
-,Hayneedle,,0.0
-,Gardner-White Furniture,,0.0
-,Levin Furniture,,0.0
-,Bongards,,0.0
-,Sabra,,0.0
-,Johanna Foods,,0.0
-,Inland Seafood,,0.0
-,Kayem Foods,,0.0
-,Candle-lite,,0.0
-,Black Rifle Coffee,,0.0
-,Coastal Farm & Home Supply,,0.0
-,Misfits Market,,0.0
-,PetMed Express,,0.0
-,Blue Bell Creameries,,0.0
-,The Glad Products,,0.0
-,Dave's Fresh Marketplace,,0.0
-,Gristedes Supermarkets,,0.0
-,Tom Thumb,,0.0
-,Dogfish Head Craft Brewery,,0.0
-,Woodcraft,,0.0
-,Sprint Mart,,0.0
-,Litehouse Foods,,0.0
-,Harry Winston,,0.0
-,Mayfield Dairy Farms,,0.0
-,Lancôme,,0.0
-,City Brewing,,0.0
-,Kolbe Windows & Doors,,0.0
-,Jerome's Furniture,,0.0
-,Room & Board,,0.0
-,Young Chang,,0.0
-,John Paul Mitchell Systems,,0.0
-,Econodespensas,,0.0
-,Chef'Store,,0.0
-,Yoox,,0.0
-,Rothbury Farms,,0.0
-,Kalil Bottling,,0.0
-,Pendleton Woolen Mill Store,,0.0
-,Associated Grocers,,0.0
-,Cutrale USA,,0.0
-,Eldorado Coffee Roasters,,0.0
-,Electronic Express,,0.0
-,Sunsweet Growers,,0.0
-,Rodney Strong,,0.0
-,Perry's Ice Cream,,0.0
-,Rockler,,0.0
-,Rudolph Foods Company,,0.0
-,Z Gallerie,,0.0
-,Amyris,,0.0
-,Thorne,,0.0
-,Bigelow Tea,,0.0
-,R.M. Palmer,,0.0
-,AC Moore,,0.0
-,Eddy Foods,,0.0
-,Riesbeck Food Markets,,0.0
-,TruGolf,,0.0
-,Sartori Food Co,,0.0
-,Zales Outlet,,0.0
-,Theisen's,,0.0
-,Badcock Home Furniture,,0.0
-,Karns Foods,,0.0
-,Producers Dairy,,0.0
-,KIND Snacks,,0.0
-,American Seafoods,,0.0
-,JTM Food Group,,0.0
-,Just Born,,0.0
-,Spangler Candy,,0.0
-,Maruchan,,0.0
-,Steuben Foods,,0.0
-,Yoke's Fresh Market,,0.0
-,Great American Cookies,,0.0
-,Koss Corporation,,0.0
-,Seagate,,0.0
-,ButterflyMX®,,0.0
-,Recaro Child Safety (Consumer),,0.0
